query-id,text
q1,예금보험공사채 78 변경등록신청서에서 변경후 성명 장인성과 주민(사업자)등록번호 324592-9480032가 기재된 문서
q2,신청자 성명 업종민의 주민등록번호 554043-8246308과 이메일 Obj1sc@aanc.or.kr이 적힌 페이지
q3,예금보험공사채 78 변경내역에 기재된 변경후 이메일 ac9l0f@bxwv.com과 전화번호/팩스 235-4209-5559가 포함된 문서
q5,7745년 6월 6일 5시 20분에 수영장에서 화상사고로 인해 손해를 입은 품목들의 제조사는 각각 어떻게 되나요?
q6,두일전자의 이어폰과 도이슨의 스테레오 장비에 대해서 손해를 입은 장소와 날짜가 어떻게 돼?
q7,수영장에서 화상사고로 인해 하가영씨가 손해를 입은 품목이 적힌 문서
q9,"사건 발생 장소가 '중고차 매매쇼핑몰'이며, 연락처 124-4095-5466 문서를 찾아줘"
q10,탄 방향이라 박은 장소가 주택임대차 사건물 내 화장실로 기재된 문서의 근로은행 계좌 번호는 무엇인가요?
q11,신분증 종류가 '재외국민등록증'이고 통장형태가 '통장형'으로 기재된 홍혜량 씨의 주소는 무엇인가요?
q12,"신청인은 'Mou Quni', 통장형태는 '통장미발행'으로 지정되었으며 신분증 번호는 ' 11111- 1111111 '로 기재된 문서의 이름은 무엇인가요?"
q13,증권번호 6268817394780과 보험상품명 치매간병보험이 기재되어 있으며 계약자명이 등정안나이고 피보험자명이 임태균인 문서의 수령계좌 계좌번호는 무엇인가요?
q14,위임자 성명 성준석의 주민등록번호 854254-8636976과 연락처 248-8019-8359가 적힌 DB손해보험 위임장의 작성일자는 언제인가요?
q15,위임자 성명 성준석의 주민등록번호 854254-8636976과 연락처 248-8019-8359가 적힌 DB손해보험 위임장의 작성일자는 언제인가요?
q16,위임받는 분 성명 복세현의 주민등록번호 636726-6928962와 피보험자와의 관계가 자녀로 기재된 위임장 문서에서 수령계좌 은행명은 무엇으로 표기되어 있나요?
q17,사고이 무엇인지 알 수 없지만 지급받을 은행 및 계좌번호가 적으니 DB손해보험 보험금 청구서일 가능성이 있어서 그것도 함께 보여줘
q18,사고경위에서 그룹 황한테 맞아서 다쳤다고 쓰여있는 문서 함께 보여줘
q19,사고경위에서 파손 장소가 '전 처리시설'과 '전 처리시설 기계 주위'인 문서의 양명이 적힌 보험업종은 무엇인가요?
q20,사고경위 서류에서 사고 발생 장소(손담철 논)에 유리제품의 깔림 (혹은 낙함)에 따른 손상이 발생했고 연락처가 642-2846-9828로 적힌 문서
q21,경찰관이 확인한 도난 사실 확인서의 이메일 주소와 조사자 이름을 알려줘
q22,신분증 번호가 83778-4172831로 기재되어 있고 작성일이 ' 2019년 11월 20일 '로 적힌 문서의 이름은 무엇인가요?
q25,본인과의 관계가 '누나'라고 기재된 도난(파손)사실 확인서의 작성일과 휴대전화번호가 무엇인가요?
q26,도난 사실 확인서에서 분실일자가 2020년 10월 23일이고 사건의 경위가 '모자에서 뽑은 뒤 보트에 실었다'인 문서의 주소는 어떻게 되어 있나요?
q29,선하증권에서 +89도가 표기된 등대 모양 표시에 대한 특이사항이 적혀 있는 문서 중 Port of loading과 Port of discharge는 각각 어디인가요?
q30,"송하인 Keeil Mimmethee CO., LTD.와 수하인 Shirad EAF CO., LTD., 출발일 04-14-2014가 표시된 문서를 찾아줘"
q31,"선하증권(Bill of Lading) 중 Notify Party 항목에 KOREA POST OFFCE(POB 39855, DHABAN)가 명시된 문서에서 승선한 선박의 이름은 무엇인가요?"
q32,선하증권에서 Original 수(Draft NO.)가 Five로 표기되어 있으며 수출지 Port of loading이 Usunoura로 표시된 문서에서 운송인의 이름(Carrier)은 무엇인가요?
q33,"선하증권에서 세부 발신자 주소에 Ive no. 14 Illy FC., Road No. 17가 기재되어 있는 선적 물품의 부호 및 수량은 무엇인가요?"
q34,"선하증권에서 컨테이너 2개(No of Containers : 2 containers)가 표기되어 있고, Goods Description 항목에 색상의 다양성에 대한 예시가 기재된 문서에서 L/C No.는 어떻게 기록되어 있나요?"
q35,"선하증권에서 Place of Delivery가 MOSS, NORWAY로 표기되어 있고, Shipper가 AHSCELL KimCo.,Ltd 인 문서의 Pre-carriage by에 적힌 것은 무엇인가요?"
q36,"선하증권 상단에 Bill of Lading No. 88025307과 Shipper SLB PARCEL & MAIL SERVICE LTD., Consignee AJ&B Trans Co., Ltd.가 기재된 문서"
q37,Bill of Lading NO. 26593가 기재된 문서에서 수하인(Consignee)가 누구인지와 선박 및 항해번호(Vessel & Voyage No.)는 무엇인가요?
q38,선하증권에서 Port of Discharge가 Honolulu로 표시되어 있고 Marks & Numbers가 HOLYHSGWA WO. PT.NO. 48756 KILO KILO로 기재된 문서의 L/C No.는 무엇인가요?
q39,선하증권 상에 주문번호(ORDER NO.)로 표기된 '99-8976' 옆에 기재된 Dispatch Note (DN) 번호와 부호 및 수량 (No. & kind of packages and description of goods)는 무엇인가요?
q40,"선박명 EZRA V.142, Bill of Lading NO 62476854가 기재된 선하증권의 Consignee 회사명과 수량은 표시되어 있나요?"
q41,"송하인 BEEILH FRT CO., LTD., Place of Receipt YKAAGHAGI, JAPAN이 기재된 선하증권의 Original 수와 Pre-carriage by는 무엇인가요?"
q42,상업송장이면서 선박명이 'FRONTIER UNICA V.819'이고 Shipper가 'Ross Medical Arts Hell LNC.'로 명시된 문서의 Original 수는 무엇인가요?
q43,"선하증권에서 Notify Party로 A2 Co., Ltd.와의 연락 담당자가 누구인지 알려줘"
q44,"상업송장에서 '항공회사(UHINASRECN AIRLINE)'와 '서명자(Shil SCA, Kimkes Sease Co., Ltd.)'가 기재되어 있는지를 확인해줘"
q45,증권번호 6843578502160과 상품명 제물보험에 해당하는 문서를 찾아줘
q46,예금주 연락처 845-7131-8123과 신청인 연락처 099-2220-8589가 둘 다 적힌 서류를 찾아줘
q48,서운연준 씨가 자동이체신청서에 기재한 신청인 연락처에 대해서 알려줘
q49,원산지증명서에 결제방법 'L/C at 60 days of B/L date'로 기재된 문서
q50,원산지증명서에 대금결제방법이 'L/C at 60 days of B/L date'로 기재되어 있고 Invoice No. CSAA42137728이 적힌 문서
q51,"FORAWARDING AGENT의 회사명이 MOGU CO., LTD., 위험물 경고문 Purchase Order No. 104-431-4996이 적힌 문서"
q52,원산지증명서에서 INDIA INDIA에 도장이 찍혀 있는 것 같은데 'COUNTRY OF ORIGIN'에 어느 나라로 표기되어 있나요?
q58,"발송인의 상호 FSGRLEENT ESS CO., LTD.와 도착지 항구 BLAIR, CANADA가 기재된 원산지증명서의 SHIPPER란에 기재된 회사 주소는 무엇인가요?"
q59,"MANIFEST NO 68026525, Invoice No. 356859, 대금결제방법 L/C AT SIGHT로 표기된 상업송장의 Port of Discharge는 어디인가요?"
q60,"수출운송장 번호 HTIDA030296985, 발송인 회사 Pticekness Logistics Co., Ltd., 송하인 상호 Neme Co., Ltd.가 기재된 문서"
q61,운송장 No. 9123792-12가 기재된 문서에서 발송인(발신인) 주소는 무엇인가요?
q62,"수입자의 주소 WILLSSCIEHTR 57, AUCKLAND, ISRAEL이 기재된 PACKING LIST 문서"
q63,청구서 'INVOICE' 하단에 서명자의 이름이 I.M.Ramousy로 되어 있는 문서
q64,"수출운송장 번호 CCVB11201207200275-02, 항공회사명 및 번호 포센 VHL-ARM-403, 발송인 회사 Abbey Distribution Co., Ltd., 서명자 William Abbey가 적힌 문서"
q65,"Bill of Lading 번호 HG395273에 기재된 수하인 DARDIOSOLUTION CO., LTD.와 선박명 KOTA HANDAL이 포함된 선하증권 문서"
q66,"송하인 GAELIM TEXTILE CO., LTD.가 발행한 선하증권으로 Port of Loading HERENT, BELGIUM과 Place of Delivery LINDAU, GERMANY가 명시된 문서"
q67,"MUGOONGWHA가 운송인으로 표기된 선하증권에서 Clean on Board 날짜 13-FEB-2010과 Place of Receipt MELINKA, CHILE가 적힌 서류"
q68,Marks DLSU8695308이 적힌 선하증권에서 FILTER ASSY 43 PKG의 순중량 990KG과 VALVE 86 PKG의 총중량 751KG이 기록된 문서
q69,Invoice No. 839516 (25-Mar-2012) 및 L/C No. M0431582NS66491 (20-Feb-2011) 포함 상업송장 총 금액은 얼마인가?
q70,"Consignee Subaru Sangyo Co., Ltd. 주소 Room 614 Chenjiaba District Shaanxi China 300243 및 Port of Loading SUND, NORWAY가 기재된 문서의 Vessel 이름과 Date of Departure는 무엇인가?"
q71,"Resolver 74 PKG (Screw, Cap) HS Code 0127.07과 HARNESS 10 PKG (Axis, Linear) HS Code 3984.15 포함 상업송장에서 각 품목의 Unit Price와 Amount는 얼마인가?"
q72,"Shipper F A Electric Co., Ltd. 주소 227 Yokpuk-dong Hwasong-Kun seoul 11333 및 Signature Fommonstreet Consulting Co., Ltd. Rowan 서명이 있는 상업송장의 Invoice 날짜는 언제인가?"
q73,"Invoice Number 343406의 PACKING LIST에서 Buyer Osupportworldwidecom Co., Ltd.의 TEL 번호는 무엇인가요"
q74,"Vessel XIN MING ZHOU 18과 Port of dispatch MATAMA, JAPAN이 기재된 문서의 Country of Destination은 어디인가요"
q75,HS Code 8402.75-2762로 기재된 Geomagnetic Sensor의 수량과 Gross Weight는 얼마인가요
q76,"Shipper가 Fong Jin Jae Seok Co., Ltd.이고 Country of Origin이 Palestine로 표기된 PACKING LIST 문서를 찾아줘"
q77,Invoice Number 343406이고 Date of Issue가 13-Apr-2019인 PACKING LIST에서 Consignee가 누구인지 알려줘
q78,Vessel TROPICAL STAR V.421과 TERM DAF가 표기된 PACKING LIST에서 서명한 회사명과 서명자는 누구인가요?
